,일자,군구,유동인구수
807,20190402,양천구,7444080
808,20190402,중랑구,6792080
809,20190402,용산구,5310230
810,20190402,강동구,7618980
811,20190402,성동구,6361700
812,20190402,송파구,12197970
813,20190402,노원구,9302880
814,20190402,종로구,6149970
815,20190402,금천구,5665280
816,20190402,서대문구,6353150
817,20190402,구로구,8543920
818,20190402,동대문구,7163190
819,20190402,중구,6863250
820,20190402,관악구,9146910
821,20190402,도봉구,5458500
822,20190402,강북구,5436070
823,20190402,성북구,8120490
824,20190402,강서구,10318700
825,20190403,강남구,15583010
826,20190403,동작구,7544610
827,20190403,영등포구,10026060
828,20190403,은평구,7603840
829,20190403,광진구,6795700
830,20190403,마포구,8352310
831,20190403,서초구,10732310
832,20190403,양천구,7445750
833,20190403,중랑구,6774880
834,20190403,용산구,5336540
835,20190403,강동구,7620310
836,20190403,성동구,6351930
837,20190403,송파구,12199380
838,20190403,노원구,9318500
839,20190403,종로구,6190780
840,20190403,금천구,5654670
841,20190403,서대문구,6322310
842,20190403,구로구,8564780
843,20190403,동대문구,7157660
844,20190403,중구,6873500
845,20190403,관악구,9146670
846,20190403,도봉구,5452020
847,20190403,강북구,5435810
848,20190403,성북구,8126030
849,20190403,강서구,10316310
850,20190404,강남구,15639080
851,20190404,동작구,7516370
852,20190404,영등포구,10039320
853,20190404,은평구,7603560
854,20190404,광진구,6809530
855,20190404,마포구,8384040
856,20190404,서초구,10789740
857,20190404,양천구,7429260
858,20190404,중랑구,6763810
859,20190404,용산구,5358840
860,20190404,강동구,7601050
861,20190404,성동구,6358330
862,20190404,송파구,12237950
863,20190404,노원구,9284590
864,20190404,종로구,6202630
865,20190404,금천구,5642750
866,20190404,서대문구,6345490
867,20190404,구로구,8546280
868,20190404,동대문구,7148360
869,20190404,중구,6879800
870,20190404,관악구,9130090
871,20190404,도봉구,5443690
872,20190404,강북구,5426850
873,20190404,성북구,8100730
874,20190404,강서구,10304980
875,20190405,강남구,15585860
876,20190405,동작구,7464520
877,20190405,영등포구,10179190
878,20190405,은평구,7616250
